,HDSI_author,year,category_for
0,Albert Hsiao,2016,"['1103 Clinical Sciences', '11 Medical and Health Sciences', '1102 Cardiorespiratory Medicine and Haematology', '09 Engineering']"
1,Albert Hsiao,2017,"['0801 Artificial Intelligence and Image Processing', '1107 Immunology', '1102 Cardiorespiratory Medicine and Haematology', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
2,Albert Hsiao,2018,"['02 Physical Sciences', '09 Engineering', '0903 Biomedical Engineering', '1112 Oncology and Carcinogenesis', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
3,Albert Hsiao,2019,"['0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '09 Engineering', '08 Information and Computing Sciences', '1112 Oncology and Carcinogenesis', '0299 Other Physical Sciences', '1102 Cardiorespiratory Medicine and Haematology', '0903 Biomedical Engineering', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
4,Albert Hsiao,2020,"['0801 Artificial Intelligence and Image Processing', '02 Physical Sciences', '08 Information and Computing Sciences', '1117 Public Health and Health Services', '1112 Oncology and Carcinogenesis', '1102 Cardiorespiratory Medicine and Haematology', '1103 Clinical Sciences', '11 Medical and Health Sciences', '0299 Other Physical Sciences']"
5,Albert Hsiao,2021,"['0801 Artificial Intelligence and Image Processing', '1102 Cardiorespiratory Medicine and Haematology', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1103 Clinical Sciences']"
6,Albert Hsiao,2022,"['11 Medical and Health Sciences', '1102 Cardiorespiratory Medicine and Haematology']"
7,Alex Cloninger,2017,"['01 Mathematical Sciences', '11 Medical and Health Sciences', '0102 Applied Mathematics', '0104 Statistics', '1117 Public Health and Health Services', '0105 Mathematical Physics', '0101 Pure Mathematics']"
8,Alex Cloninger,2018,"['01 Mathematical Sciences', '11 Medical and Health Sciences', '0102 Applied Mathematics', '1117 Public Health and Health Services', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
9,Alex Cloninger,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
10,Alex Cloninger,2020,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '08 Information and Computing Sciences']"
11,Alex Cloninger,2021,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0102 Applied Mathematics', '0104 Statistics', '08 Information and Computing Sciences', '0103 Numerical and Computational Mathematics', '0101 Pure Mathematics']"
12,Angela Yu,2016,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
13,Angela Yu,2017,"['17 Psychology and Cognitive Sciences', '1701 Psychology', '06 Biological Sciences', '14 Economics', '1403 Econometrics', '11 Medical and Health Sciences']"
14,Angela Yu,2018,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
15,Angela Yu,2019,"['1109 Neurosciences', '11 Medical and Health Sciences']"
16,Angela Yu,2020,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
17,Angela Yu,2021,"['17 Psychology and Cognitive Sciences', '1701 Psychology']"
18,Armin Schwartzman,2016,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '0104 Statistics', '09 Engineering', '08 Information and Computing Sciences', '14 Economics', '0903 Biomedical Engineering', '1403 Econometrics']"
19,Armin Schwartzman,2017,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '1403 Econometrics', '0102 Applied Mathematics', '0101 Pure Mathematics', '0604 Genetics', '06 Biological Sciences', '0104 Statistics', '0401 Atmospheric Sciences', '08 Information and Computing Sciences', '14 Economics', '1103 Clinical Sciences', '04 Earth Sciences', '11 Medical and Health Sciences']"
20,Armin Schwartzman,2018,"['01 Mathematical Sciences', '02 Physical Sciences', '0101 Pure Mathematics', '0104 Statistics', '0201 Astronomical and Space Sciences', '0406 Physical Geography and Environmental Geoscience', '0404 Geophysics', '14 Economics', '04 Earth Sciences', '1403 Econometrics', '0405 Oceanography']"
21,Armin Schwartzman,2019,"['0801 Artificial Intelligence and Image Processing', '01 Mathematical Sciences', '17 Psychology and Cognitive Sciences', '1701 Psychology', '02 Physical Sciences', '0104 Statistics', '0201 Astronomical and Space Sciences', '0803 Computer Software', '10 Technology', '08 Information and Computing Sciences', '11 Medical and Health Sciences', '1005 Communications Technologies']"
22,Armin Schwartzman,2020,"['0801 Artificial Intelligence and Image Processing', '17 Psychology and Cognitive Sciences', '0404 Geophysics', '0101 Pure Mathematics', '0909 Geomatic Engineering', '1701 Psychology', '0406 Physical Geography and Environmental Geoscience', '04 Earth Sciences', '1403 Econometrics', '01 Mathematical Sciences', '0906 Electrical and Electronic Engineering', '0104 Statistics', '0502 Environmental Science and Management', '1103 Clinical Sciences', '11 Medical and Health Sciences', '05 Environmental Sciences', '09 Engineering', '0401 Atmospheric Sciences', '14 Economics', '08 Information and Computing Sciences']"
23,Armin Schwartzman,2021,"['17 Psychology and Cognitive Sciences', '01 Mathematical Sciences', '1701 Psychology', '0104 Statistics', '0101 Pure Mathematics']"
24,Armin Schwartzman,2022,"['01 Mathematical Sciences', '0104 Statistics']"
